,amazon_index,filename,image_url,title,author,category_id,category
11860,1475959427,1475959427.jpg,http://ecx.images-amazon.com/images/I/61XPGnCqvHL.jpg,Ashes of Deception,Willoughby S. Hundley III MD,17,"Mystery, Thriller & Suspense"
11861,812996348,0812996348.jpg,http://ecx.images-amazon.com/images/I/61wwywItObL.jpg,Girl at War: A Novel,Sara Novic,15,Literature & Fiction
11867,802142443,0802142443.jpg,http://ecx.images-amazon.com/images/I/41RPP38H2DL.jpg,Kitchen (A Black cat book),Banana Yoshimoto,15,Literature & Fiction
11869,1442441399,1442441399.jpg,http://ecx.images-amazon.com/images/I/516gisuXjnL.jpg,Maid of Secrets (Maids of Honor),Jennifer McGowan,27,Teen & Young Adult
11871,62012932,0062012932.jpg,http://ecx.images-amazon.com/images/I/61-NLhES1JL.jpg,Halloween Night,Marjorie Dennis Murray,4,Children's Books
11872,1423165675,1423165675.jpg,http://ecx.images-amazon.com/images/I/51rgdOEfo7L.jpg,The Hunted (An Enemy Novel),Charlie Higson,27,Teen & Young Adult
11873,800734602,0800734602.jpg,http://ecx.images-amazon.com/images/I/51ETgj%2BoejL.jpg,"Waiting for Spring (Westward Winds, Bk 2)",Amanda Cabot,22,Romance
11880,B011W70YMS,B011W70YMS.jpg,http://ecx.images-amazon.com/images/I/61gqJk%2Bz%2BSL.jpg,"The Banished of Muirwood: Covenant of Muirwood, Book 1",Jeff Wheeler,22,Romance
11883,1624033938,1624033938.jpg,http://ecx.images-amazon.com/images/I/51E9yIuRLzL.jpg,Great Moments in Olympic Basketball (Great Moments in Olympic Sports),Doug Williams,4,Children's Books
11895,1942993293,1942993293.jpg,http://ecx.images-amazon.com/images/I/51tB7wiRLXL.jpg,"Attack on Titan: The Harsh Mistress of the City, Part 2",Ryo Kawakami,24,Science Fiction & Fantasy
11898,446547573,0446547573.jpg,http://ecx.images-amazon.com/images/I/51pShsK76YL.jpg,Safe Haven,Nicholas Sparks,22,Romance
11905,B00I9HEBJ2,B00I9HEBJ2.jpg,http://ecx.images-amazon.com/images/I/41Is1srzeUL.jpg,The Benevent Treasure,Patricia Wentworth,22,Romance
11906,765348284,0765348284.jpg,http://ecx.images-amazon.com/images/I/51G5RdZkdeL.jpg,The Android's Dream,John Scalzi,24,Science Fiction & Fantasy
11907,1593092822,1593092822.jpg,http://ecx.images-amazon.com/images/I/51uMGWhIggL.jpg,Lipstick Hustla,Allison Hobbs,22,Romance
11909,375756698,0375756698.jpg,http://ecx.images-amazon.com/images/I/511p7JC%2BLpL.jpg,Complete Poems and Selected Letters of John Keats (Modern Library Classics),John Keats,15,Literature & Fiction
11920,486250970,0486250970.jpg,http://ecx.images-amazon.com/images/I/51QP8KNAWDL.jpg,Cut and Assemble Victorian Seaside Resort (Cut & Assemble Buildings in H-O Scale),Edmund V. Gillon Jr.,27,Teen & Young Adult
11924,1626862559,1626862559.jpg,http://ecx.images-amazon.com/images/I/51iiy3Ds7uL.jpg,The Strange Case of Dr. Jekyll and Mr. Hyde & Other Stories (Word Cloud Classics),Robert Louis Stevenson,15,Literature & Fiction
11926,898794447,0898794447.jpg,http://ecx.images-amazon.com/images/I/51zQMMWb-0L.jpg,Hillary Waugh's Guide to Mysteries & Mystery Writing,Hillary Waugh,17,"Mystery, Thriller & Suspense"
11936,1935703013,1935703013.jpg,http://ecx.images-amazon.com/images/I/51GLpeRmCGL.jpg,My First Batman Book: Touch and Feel (DC Super Heroes),David Bar Katz,4,Children's Books
11941,375865624,0375865624.jpg,http://ecx.images-amazon.com/images/I/41cATb0K9dL.jpg,Out of Nowhere,Maria Padian,27,Teen & Young Adult
11942,1559715936,1559715936.jpg,http://ecx.images-amazon.com/images/I/51z%2Bn6DKyDL.jpg,"Frogs, Toads & Turtles: Take Along Guide (Take Along Guides)",Diane Burns,4,Children's Books
11952,1616956305,1616956305.jpg,http://ecx.images-amazon.com/images/I/51HCIr%2BOvtL.jpg,Gold of Our Fathers (A Darko Dawson Mystery),Kwei Quartey,17,"Mystery, Thriller & Suspense"
11956,006231128X,006231128X.jpg,http://ecx.images-amazon.com/images/I/51w5Gu3oEML.jpg,"Rules of the Game: A Stardust, Texas Novel",Lori Wilde,22,Romance
11959,800725913,0800725913.jpg,http://ecx.images-amazon.com/images/I/51YVpQTtPmL.jpg,Nobody Told Me: What You Need to Know About the Physical and Emotional Consequences of Sex Outside of Marriage,Pam Stenzel,27,Teen & Young Adult
11963,590451561,0590451561.jpg,http://ecx.images-amazon.com/images/I/514gUjHXP3L.jpg,. . . If You Traveled on the Underground Railroad,Ellen Levine,4,Children's Books
11972,1887159304,1887159304.jpg,http://ecx.images-amazon.com/images/I/51D7K71GMXL.jpg,With Wolfe in Canada: Or the Winning of a Continent (Works of G. A. Henty),George A. Henty,27,Teen & Young Adult
11975,1414310552,1414310552.jpg,http://ecx.images-amazon.com/images/I/41d7abstuEL.jpg,Danger in the Shadows (Prequel to The O'Malley Series),Dee Henderson,22,Romance
11976,809023091,0809023091.jpg,http://ecx.images-amazon.com/images/I/411feFF1w8L.jpg,Day: A Novel,Elie Wiesel,15,Literature & Fiction
11982,1937265862,1937265862.jpg,http://ecx.images-amazon.com/images/I/51cg%2BUIjTpL.jpg,Aether Legion,Winfield H. Strock III,24,Science Fiction & Fantasy
11988,160710315X,160710315X.jpg,http://ecx.images-amazon.com/images/I/51QAmqqH3DL.jpg,Robert Louis Stevenson: Seven Novels,Robert Louis Stevenson,15,Literature & Fiction
11991,573695393,0573695393.jpg,http://ecx.images-amazon.com/images/I/31sbQ92abNL.jpg,Death Defying Acts,Woody Allen,15,Literature & Fiction
11993,807033057,0807033057.jpg,http://ecx.images-amazon.com/images/I/51jrddIgJbL.jpg,"A Time to Break Silence: The Essential Works of Martin Luther King, Jr., for Students (King Legacy)",Martin Luther King Jr.,27,Teen & Young Adult
11994,60813040,0060813040.jpg,http://ecx.images-amazon.com/images/I/51JEC3xBPML.jpg,"The Road to Vengeance (The Strongbow Saga, Book 3)",Judson Roberts,27,Teen & Young Adult
11999,226301281,0226301281.jpg,http://ecx.images-amazon.com/images/I/51UdVZnOo8L.jpg,How to Stage Greek Tragedy Today,Simon Goldhill,15,Literature & Fiction
12010,385392702,0385392702.jpg,http://ecx.images-amazon.com/images/I/51l28Sx7BbL.jpg,Richard Scarry's Planes (Richard Scarry's Busy World),Richard Scarry,4,Children's Books
12015,425266648,0425266648.jpg,http://ecx.images-amazon.com/images/I/51SUZ5fyKPL.jpg,Foolish Games (An Out of Bounds Novel),Tracy Solheim,22,Romance
12025,307407985,0307407985.jpg,http://ecx.images-amazon.com/images/I/41cMuc4-FNL.jpg,The Last Resort: A Memoir of Mischief and Mayhem on a Family Farm in Africa,Douglas Rogers,1,Biographies & Memoirs
12031,64401324,0064401324.jpg,http://ecx.images-amazon.com/images/I/51Pxa0N-lEL.jpg,Stone Fox,John Reynolds Gardiner,4,Children's Books
12033,525462694,0525462694.jpg,http://ecx.images-amazon.com/images/I/5127q6z1X%2BL.jpg,My Side of the Mountain Trilogy (My Side of the Mountain / On the Far Side of the Mountain / Frightful's Mountain),Jean Craighead George,4,Children's Books
12035,1442495928,1442495928.jpg,http://ecx.images-amazon.com/images/I/517thyV1%2BcL.jpg,"Over Sea, Under Stone (The Dark Is Rising Sequence)",Susan Cooper,4,Children's Books
12040,749816090,0749816090.jpg,http://ecx.images-amazon.com/images/I/41enlE03WbL.jpg,Wheels on the Bus (Play-a-sound),,4,Children's Books
12042,1560376295,1560376295.jpg,http://ecx.images-amazon.com/images/I/61BZ5qr40cL.jpg,Who Pooped in the Redwoods? : Scat and Tracks for Kids (Who Pooped in the Park?),Gary D. Robson,4,Children's Books
12044,031251381X,031251381X.jpg,http://ecx.images-amazon.com/images/I/51-rpC697rL.jpg,Simple First Sounds Noisy Pets,Roger Priddy,4,Children's Books
12060,486264033,0486264033.jpg,http://ecx.images-amazon.com/images/I/515egXuIIWL.jpg,Little Zoo Animals Coloring Book (Dover Little Activity Books),Roberta Collier,4,Children's Books
12065,143126822,0143126822.jpg,http://ecx.images-amazon.com/images/I/51lQaq1R4XL.jpg,Redeployment,Phil Klay,15,Literature & Fiction
12068,1448894026,1448894026.jpg,http://ecx.images-amazon.com/images/I/51dXDsXYoAL.jpg,Alabama Football (America's Most Winning Teams),Bridget Heos,27,Teen & Young Adult
12082,746016581,0746016581.jpg,http://ecx.images-amazon.com/images/I/41yFl-z5Q4L.jpg,The Usborne Book of Planes and Helicopters (Young Machines Series),Clive Gifford,4,Children's Books
12088,439266009,0439266009.jpg,http://ecx.images-amazon.com/images/I/51QtWQxLMUL.jpg,The Arthur Trilogy #3: King of the Middle March,Kevin Crossley-Holland,27,Teen & Young Adult
12090,1566890640,1566890640.jpg,http://ecx.images-amazon.com/images/I/51IX3qcoM8L.jpg,Tropic of Orange,Karen Tei Yamashita,24,Science Fiction & Fantasy
12091,553289411,0553289411.jpg,http://ecx.images-amazon.com/images/I/51zLLeuqAnL.jpg,The Plains of Passage,Jean M. Auel,15,Literature & Fiction
12094,61935069,0061935069.jpg,http://ecx.images-amazon.com/images/I/51G7juObSeL.jpg,Biscuit Loves the Library (My First I Can Read),Alyssa Satin Capucilli,4,Children's Books
12098,1420502816,1420502816.jpg,http://ecx.images-amazon.com/images/I/513c1m8s%2BeL.jpg,Ice Hockey (Science Behind Sports),Anne Wallace Sharp,27,Teen & Young Adult
12108,1631402781,1631402781.jpg,http://ecx.images-amazon.com/images/I/51S-ES%2BNC%2BL.jpg,X-Files: Trust No One,Brian Keene,24,Science Fiction & Fantasy
12112,077103489X,077103489X.jpg,http://ecx.images-amazon.com/images/I/41p6xw1rQOL.jpg,Barometer Rising,Hugh Maclennan,15,Literature & Fiction
12124,62422790,0062422790.jpg,http://ecx.images-amazon.com/images/I/5140Oy3iqvL.jpg,"Paddington Classic Adventures Box Set: A Bear Called Paddington, More About Paddington, Paddington Helps Out",Michael Bond,4,Children's Books
12127,312949812,0312949812.jpg,http://ecx.images-amazon.com/images/I/51KaoLrVi%2BL.jpg,"Seduce Me at Sunrise (The Hathaways, Book 2)",Lisa Kleypas,22,Romance
12131,836845935,0836845935.jpg,http://ecx.images-amazon.com/images/I/61LFMH2p3SL.jpg,Venus Y Serena Williams (Gente Que Hay Que Conocer) (Spanish Edition),Jonatha A. Brown,4,Children's Books
12132,78688760,0078688760.jpg,http://ecx.images-amazon.com/images/I/51GqZk31OlL.jpg,Discovering Our Past - California Edition: Medieval And Early Modern Times (Glencoe California),Jack Spielvogel,4,Children's Books
12141,1422204227,1422204227.jpg,http://ecx.images-amazon.com/images/I/21HWDWXFFxL.jpg,Finding My Voice: Youth With Speech Impairment (Youth With Special Needs),Joyce Libal,27,Teen & Young Adult
12143,756508118,0756508118.jpg,http://ecx.images-amazon.com/images/I/51P8idoGFhL.jpg,Christopher Columbus: Explorer of the New World (Signature Lives),Robin S. Doak,4,Children's Books
12145,B005K6BFH6,B005K6BFH6.jpg,http://ecx.images-amazon.com/images/I/51E6mWzCLFL.jpg,Versus: Warriors,,4,Children's Books
12147,1855000946,1855000946.jpg,http://ecx.images-amazon.com/images/I/31Gd11-haKL.jpg,The Heroic Biography of Cormac Mac Airt (Irish literature - studies),Tomas O Cathasaigh,1,Biographies & Memoirs
12157,60853980,0060853980.jpg,http://ecx.images-amazon.com/images/I/51YLxGUC3uL.jpg,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Neil Gaiman,24,Science Fiction & Fantasy
12158,374202958,0374202958.jpg,http://ecx.images-amazon.com/images/I/41MT59AKKCL.jpg,Mark Morris,Joan R. Acocella,1,Biographies & Memoirs
12166,618126996,0618126996.jpg,http://ecx.images-amazon.com/images/I/51HCB6VbS%2BL.jpg,The Atlas of Middle-Earth (Revised Edition),Karen Wynn Fonstad,24,Science Fiction & Fantasy
12168,B0107LUSTO,B0107LUSTO.jpg,http://ecx.images-amazon.com/images/I/61vgYp-pV-L.jpg,"Hart Attack: Titan, Book 5",Cristin Harber,22,Romance
12170,816728143,0816728143.jpg,http://ecx.images-amazon.com/images/I/51TdoCUFRaL.jpg,Gift Of The Nile - Pbk,Jan M. Mike,4,Children's Books
12171,1593071051,1593071051.jpg,http://ecx.images-amazon.com/images/I/51Jr8vpC3lL.jpg,Trigun Anime Manga Volume 1,Yasuhiro Nightow,27,Teen & Young Adult
12178,872866831,0872866831.jpg,http://ecx.images-amazon.com/images/I/51n3nIvIA-L.jpg,"Rad American Women A-Z: Rebels, Trailblazers, and Visionaries who Shaped Our History . . . and Our Future! (City Lights/Sister Spit)",Kate Schatz,4,Children's Books
12180,1843842440,1843842440.jpg,http://ecx.images-amazon.com/images/I/31gDAvbfAVL.jpg,A Companion to Gower,,15,Literature & Fiction
12195,1493769707,1493769707.jpg,http://ecx.images-amazon.com/images/I/51bAABhhzzL.jpg,Am I small? Ya malen'kaya?: Children's Picture Book English-Russian (Bilingual Edition),Philipp Winterberg,4,Children's Books
12199,966491319,0966491319.jpg,http://ecx.images-amazon.com/images/I/51P3GYqnNWL.jpg,Ovid's Metamorphoses : The Arthur Golding Translation of 1567,John Frederick Nims,15,Literature & Fiction
12204,1771680040,1771680040.jpg,http://ecx.images-amazon.com/images/I/41kkokf-sXL.jpg,I Wrote This For You: Just the Words,pleasefindthis,15,Literature & Fiction
12219,142403709,0142403709.jpg,http://ecx.images-amazon.com/images/I/51c4E6NJrHL.jpg,Al Capone Does My Shirts,Gennifer Choldenko,4,Children's Books
12222,1626342032,1626342032.jpg,http://ecx.images-amazon.com/images/I/51VcfSnwaQL.jpg,Baseball Dads,Matthew S. Hiley,15,Literature & Fiction
12223,803737475,0803737475.jpg,http://ecx.images-amazon.com/images/I/61JBzuonwLL.jpg,Hands Around the Library: Protecting EgyptEEs Treasured Books,Karen Leggett Abouraya,4,Children's Books
12225,1622500156,1622500156.jpg,http://ecx.images-amazon.com/images/I/51UjKOB0rHL.jpg,Pitbull (Hip-Hop Biographies),Saddleback Educational Publishing,27,Teen & Young Adult
12229,310734215,0310734215.jpg,http://ecx.images-amazon.com/images/I/51tEQTFNZaL.jpg,Our Constitution Rocks,Juliette Turner,4,Children's Books
12233,1555602703,1555602703.jpg,http://ecx.images-amazon.com/images/I/615E2YBF4ML.jpg,BattleTech: The Future of Warfare: Technical Readout 3058,Carl Sargent,24,Science Fiction & Fantasy
12239,307742814,0307742814.jpg,http://ecx.images-amazon.com/images/I/51UvsYPpxXL.jpg,"King Peggy: An American Secretary, Her Royal Destiny, and the Inspiring Story of How She Changed an African Village",Peggielene Bartels,1,Biographies & Memoirs
12244,689860218,0689860218.jpg,http://ecx.images-amazon.com/images/I/51OsJdLldpL.jpg,Soldier Boys,Dean Hughes,27,Teen & Young Adult
12246,764205307,0764205307.jpg,http://ecx.images-amazon.com/images/I/51DHSvJyalL.jpg,"Like Gold Refined (A Prairie Legacy, Book 4) (Volume 4)",Janette Oke,15,Literature & Fiction
12247,385074077,0385074077.jpg,http://ecx.images-amazon.com/images/I/51HcZLBC4BL.jpg,Complete Stories and Poems of Edgar Allan Poe,Edgar Allan Poe,15,Literature & Fiction
12250,688171400,0688171400.jpg,http://ecx.images-amazon.com/images/I/51ulkKEG3gL.jpg,My Basketball Book,Gail Gibbons,4,Children's Books
12256,316283932,0316283932.jpg,http://ecx.images-amazon.com/images/I/51d9IEYq9WL.jpg,Scarlett Undercover,Jennifer Latham,27,Teen & Young Adult
12258,306818442,0306818442.jpg,http://ecx.images-amazon.com/images/I/417W7-0AZgL.jpg,"Sheepish: Two Women, Fifty Sheep, and Enough Wool to Save the Planet",Catherine Friend,1,Biographies & Memoirs
12260,B015NOAWAU,B015NOAWAU.jpg,http://ecx.images-amazon.com/images/I/61mACLSIAYL.jpg,Alice-9: Alice Series #2,Charles Lamb,24,Science Fiction & Fantasy
12262,373777744,0373777744.jpg,http://ecx.images-amazon.com/images/I/517CYeCUYXL.jpg,Big Sky Wedding,Linda Lael Miller,15,Literature & Fiction
12272,1481210564,1481210564.jpg,http://ecx.images-amazon.com/images/I/41TbcUfMJrL.jpg,Torn To Shreds,Sara York,15,Literature & Fiction
12275,1771552069,1771552069.jpg,http://ecx.images-amazon.com/images/I/516PP9a346L.jpg,The SHIVA Syndrome,Alan Joshua,24,Science Fiction & Fantasy
12279,764229915,0764229915.jpg,http://ecx.images-amazon.com/images/I/51x4IoSEN5L.jpg,The Strength of His Hand (Chronicles of the Kings #3) (Volume 3),Lynn Austin,15,Literature & Fiction
12282,1577946227,1577946227.jpg,http://ecx.images-amazon.com/images/I/41zX92%2BjOVL.jpg,Little Black Book for Athletes (Little Black Book Series),Blaine Bartel,27,Teen & Young Adult
12287,938317210,0938317210.jpg,http://ecx.images-amazon.com/images/I/31GCB5TWN5L.jpg,Watch Out for Clever Women!: Cuidado con las Mujeres Astutas! (Spanish and English Edition),Joe Hayes,4,Children's Books
12290,1500155284,1500155284.jpg,http://ecx.images-amazon.com/images/I/51GA9H6FqsL.jpg,"William ""520%"" Miller (The Ponzi Files) (Volume 1)",V. G. Oltmann,1,Biographies & Memoirs
12301,823928705,0823928705.jpg,http://ecx.images-amazon.com/images/I/51BuAXhOOYL.jpg,Everything You Need to Know When a Parent Dies (Need to Know Library),Fred Bratman,27,Teen & Young Adult
12302,1619266180,1619266180.jpg,http://ecx.images-amazon.com/images/I/51EcLJ5LD5L.jpg,Double E Ranch [Slick Rock 2] (Siren Publishing Menage Everlasting),Becca Van,22,Romance
12306,761527311,0761527311.jpg,http://ecx.images-amazon.com/images/I/51CAJ1KSPEL.jpg,Mechwarrior 3 Pirate's Moon: Prima's Official Strategy Guide,Joe Grant Bell,24,Science Fiction & Fantasy
12307,531208338,0531208338.jpg,http://ecx.images-amazon.com/images/I/51RvrRiAF8L.jpg,Ellis Island (Cornerstones of Freedom: Second),Judith Jango-Cohen,4,Children's Books
12308,785271805,0785271805.jpg,http://ecx.images-amazon.com/images/I/51v4iOfbu7L.jpg,The Gospel According to the Apostles,John F. MacArthur,4,Children's Books
12310,1936976552,1936976552.jpg,http://ecx.images-amazon.com/images/I/41Et-2VD4oL.jpg,Tomboy: A Graphic Memoir,Liz Prince,27,Teen & Young Adult
12324,994320426,0994320426.jpg,http://ecx.images-amazon.com/images/I/418Bo1r53GL.jpg,Depression is a Liar: It IS possible to recover and be happy again - even if you don't believe it right now,Danny Baker,1,Biographies & Memoirs
12325,1435897463,1435897463.jpg,http://ecx.images-amazon.com/images/I/61c-g2COxpL.jpg,Hydropower: Making a Splash! (Powering Our World),Amy S. Hansen,4,Children's Books
12327,544234391,0544234391.jpg,http://ecx.images-amazon.com/images/I/51%2B2Kg32pAL.jpg,"Viva Jacquelina!: Being an Account of the Further Adventures of Jacky Faber, Over the Hills and Far Away (Bloody Jack Adventures)",L. A. Meyer,27,Teen & Young Adult
12333,152050760,0152050760.jpg,http://ecx.images-amazon.com/images/I/41KNYKf91dL.jpg,Or Give Me Death: A Novel of Patrick Henry's Family (Great Episodes),Ann Rinaldi,27,Teen & Young Adult
12339,1840681128,1840681128.jpg,http://ecx.images-amazon.com/images/I/415547R7XBL.jpg,Divine Filth: Lost Writings by Georges Bataille (Creation Modern Classics),Georges Bataille,22,Romance
12346,766024245,0766024245.jpg,http://ecx.images-amazon.com/images/I/51jizctvjsL.jpg,"Dale Earnhardt, Jr.: Born to Race (Sports Leaders)",Ken Garfield,27,Teen & Young Adult
12352,055358202X,055358202X.jpg,http://ecx.images-amazon.com/images/I/51zfq5scxcL.jpg,A Feast for Crows: A Song of Ice and Fire (Game of Thrones),George R. R. Martin,24,Science Fiction & Fantasy
12366,1933718005,1933718005.jpg,http://ecx.images-amazon.com/images/I/51EsH7vmlsL.jpg,The Kissing Hand,Audrey Penn,4,Children's Books
12370,1466493348,1466493348.jpg,http://ecx.images-amazon.com/images/I/41WoLa2JfoL.jpg,The Nick Merlin Chronicles: Crime fighting by magic in an alternate universe,Alvin Vogel,24,Science Fiction & Fantasy
12376,375859608,0375859608.jpg,http://ecx.images-amazon.com/images/I/41XgsvJeecL.jpg,Do You Like Green Eggs and Ham? (Dr. Seuss Nursery Collection),Dr. Seuss,4,Children's Books
12390,766011054,0766011054.jpg,http://ecx.images-amazon.com/images/I/61TT68VzSNL.jpg,Suicide: Tragic Choice (Issues in Focus),Karen Zeinert,27,Teen & Young Adult
12392,753472074,0753472074.jpg,http://ecx.images-amazon.com/images/I/61K5H1p5-LL.jpg,Cool Cars (Amazing Machines),Tony Mitton,4,Children's Books
12393,435420623,0435420623.jpg,http://ecx.images-amazon.com/images/I/51HP25TKA0L.jpg,Examining Food Technology,Anne Barnett,27,Teen & Young Adult
12394,1629370193,1629370193.jpg,http://ecx.images-amazon.com/images/I/51oI-MW1HLL.jpg,One Direction: Midnight Memories,Triumph Books,27,Teen & Young Adult
12396,823421570,0823421570.jpg,http://ecx.images-amazon.com/images/I/31bjCbSaktL.jpg,The Planets,Gail Gibbons,4,Children's Books
12402,1907818715,1907818715.jpg,http://ecx.images-amazon.com/images/I/51HVXGl0nvL.jpg,Erotic Poetry Collection,Robert Herrick,22,Romance
12404,015202154X,015202154X.jpg,http://ecx.images-amazon.com/images/I/41ZR1PibI7L.jpg,My Little Red Toolbox,Stephen T. Johnson,4,Children's Books
12411,1879402084,1879402084.jpg,http://ecx.images-amazon.com/images/I/51gQiRkrxjL.jpg,Nahj Al-Balaghah (Peak of Eloquence) for Children,Ali ibn Abu-Talib,4,Children's Books
12412,9580491143,9580491143.jpg,http://ecx.images-amazon.com/images/I/41I-QglrkbL.jpg,Misterios Del Mar Oceano/ Mysteries of the Ocean Sea (Torre De Papel) (Spanish Edition),Ana Maria Machado,27,Teen & Young Adult
12415,62301675,0062301675.jpg,http://ecx.images-amazon.com/images/I/510lxfrhLNL.jpg,"How to Read Literature Like a Professor: A Lively and Entertaining Guide to Reading Between the Lines, Revised Edition",Thomas C. Foster,15,Literature & Fiction
12423,1598425994,1598425994.jpg,http://ecx.images-amazon.com/images/I/61DfpaZJjvL.jpg,Required Reading for All Teenagers (Updated Edition),Douglas Pagels,27,Teen & Young Adult
12424,1883672686,1883672686.jpg,http://ecx.images-amazon.com/images/I/51K2akb7J2L.jpg,The Wisdom of the Crows and Other Buddhist Tales,,4,Children's Books
12425,1419705849,1419705849.jpg,http://ecx.images-amazon.com/images/I/51nApVju%2B7L.jpg,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4,Children's Books
12426,1939581605,1939581605.jpg,http://ecx.images-amazon.com/images/I/51kTD%2B9wWLL.jpg,"I Can Draw Dinosaurs, Dragons & Prehistoric Creatures: Learn to Draw Reptilian Beasts and Fantasy Characters Step by Step!",Philippe Legendre,4,Children's Books
12434,307474658,0307474658.jpg,http://ecx.images-amazon.com/images/I/41LroYuo5qL.jpg,Watergate: A Novel,Thomas Mallon,15,Literature & Fiction
12441,1404863915,1404863915.jpg,http://ecx.images-amazon.com/images/I/51PO-ic%2B8CL.jpg,Pick a Perfect Pumpkin: Learning About Pumpkin Harvests (Autumn),Robin Koontz,4,Children's Books
12446,1554071410,1554071410.jpg,http://ecx.images-amazon.com/images/I/51DNKZJE6ML.jpg,Home Plate Don't Move: Baseball's Best Quotes and Quips,,27,Teen & Young Adult
12450,140444173,0140444173.jpg,http://ecx.images-amazon.com/images/I/51%2B67%2B4r61L.jpg,War and Peace (Penguin Classics),Leo Tolstoy,15,Literature & Fiction
12452,60780932,0060780932.jpg,http://ecx.images-amazon.com/images/I/61VeOSaanJL.jpg,I Didn't Do It for You: How the World Betrayed a Small African Nation,Michela Wrong,1,Biographies & Memoirs
12456,804804699,0804804699.jpg,http://ecx.images-amazon.com/images/I/61bHaCJQGKL.jpg,Peach Boy,Florence Sakade,4,Children's Books
12457,1617833371,1617833371.jpg,http://ecx.images-amazon.com/images/I/51G9UG7pwzL.jpg,Twitter: The Company and Its Founders (Technology Pioneers Set 2),Christine Heppermann,27,Teen & Young Adult
12464,312852274,0312852274.jpg,http://ecx.images-amazon.com/images/I/41S7QD6G32L.jpg,The Forever King,Molly Cochran,24,Science Fiction & Fantasy
12465,307929574,0307929574.jpg,http://ecx.images-amazon.com/images/I/51L9uDV0OeL.jpg,"Good Night, Little Dragons (Little Golden Book)",Leigh Ann Tyson,4,Children's Books
12466,62124277,0062124277.jpg,http://ecx.images-amazon.com/images/I/51QxgSJpGfL.jpg,Flight Behavior: A Novel,Barbara Kingsolver,15,Literature & Fiction
12469,794526284,0794526284.jpg,http://ecx.images-amazon.com/images/I/61bkEgAFlbL.jpg,Usborne Illustrated Stories from Dickens,,4,Children's Books
12470,981551505,0981551505.jpg,http://ecx.images-amazon.com/images/I/61EcWAQotnL.jpg,"The Power Of The Penny: ABRAHAM LINCOLN INSPIRES A NATION - (Kid's Guide to a Hero's Path: Lessons on civics, character, social action, money & American history)",Elaina Redmond,4,Children's Books
12472,1626395926,1626395926.jpg,http://ecx.images-amazon.com/images/I/51jHKsBjpiL.jpg,Rise of the Rain Queen,Fiona Zedde,22,Romance
12473,080508293X,080508293X.jpg,http://ecx.images-amazon.com/images/I/51pt%2BP1fUCL.jpg,Elizabeth Cady Stanton and Susan B. Anthony: A Friendship That Changed the World,Penny Colman,27,Teen & Young Adult
12478,150110702X,150110702X.jpg,http://ecx.images-amazon.com/images/I/51k4dEdHYlL.jpg,Scandal in Scotland (The Hurst Amulet),Karen Hawkins,22,Romance
12482,1164883801,1164883801.jpg,http://ecx.images-amazon.com/images/I/51dxLMq%2BpdL.jpg,Lectures On The Comparative Pathology Of Inflammation (1893),Elias Metchnikoff,15,Literature & Fiction
12491,976996049,0976996049.jpg,http://ecx.images-amazon.com/images/I/51W6S4FCSSL.jpg,Encyclopedia Eldoria,Keith Done,24,Science Fiction & Fantasy
12499,1565042751,1565042751.jpg,http://ecx.images-amazon.com/images/I/7163MSMSJVL.gif,Vampire: The Dark Ages,Jennifer Hartshorn,24,Science Fiction & Fantasy
12501,3273342,0003273342.jpg,http://ecx.images-amazon.com/images/I/51MREQTZDKL.jpg,Issues: Bk. 1: Cross-curricular Course for PSE (Issues - the Cross-curriculur Course for PSE),John Foster,27,Teen & Young Adult
12517,1423108051,1423108051.jpg,http://ecx.images-amazon.com/images/I/517VIPCGJ7L.jpg,Poems to Learn by Heart,Caroline Kennedy,4,Children's Books
12522,1472526384,1472526384.jpg,http://ecx.images-amazon.com/images/I/41v07GtsrpL.jpg,Off the Mic: The World's Best Stand-Up Comedians Get Serious About Comedy (Performance Books),Deborah Frances-White,15,Literature & Fiction
12523,373297580,0373297580.jpg,http://ecx.images-amazon.com/images/I/51NfQ%2BhlAiL.jpg,Defiant in the Viking's Bed (Harlequin Historical\Victorious Vikings),Joanna Fulford,22,Romance
12524,803728042,0803728042.jpg,http://ecx.images-amazon.com/images/I/51l2ZpwFicL.jpg,Getting Away with Murder: The True Story of the Emmett Till Case,Chris Crowe,27,Teen & Young Adult
12533,B011D90G00,B011D90G00.jpg,http://ecx.images-amazon.com/images/I/51iZvLmMZdL.jpg,One Last Sin,Georgia Cates,22,Romance
12534,1568823029,1568823029.jpg,http://ecx.images-amazon.com/images/I/519f8Ef4ClL.jpg,Secrets of New Orleans: A 1920s Sourcebook to the Crescent City (Call of Cthulhu roleplaying),Fred Van Lente,24,Science Fiction & Fantasy
12535,764162365,0764162365.jpg,http://ecx.images-amazon.com/images/I/51Se9lePhLL.jpg,Elephant (Wiggle-Waggles),Rachel Elliot,4,Children's Books
12537,1559363010,1559363010.jpg,http://ecx.images-amazon.com/images/I/51Zd9pvBfRL.jpg,Seven Guitars (The August Wilson Century Cycle),August Wilson,15,Literature & Fiction
12538,1492617830,1492617830.jpg,http://ecx.images-amazon.com/images/I/51GmwY-HShL.jpg,This Book Is Gay,James Dawson,27,Teen & Young Adult
