,amazon_index,filename,title,author,category_id,category,meta,year,meta_author,decade,post_2010
2673,786030194,0786030194.jpg,High Treason (Jonathan Grave),John Gilstrap,17,"Mystery, Thriller & Suspense","{""ISBN-13"": ""9780786030194"", ""Title"": ""High Treason"", ""Authors"": [""John Gilstrap""], ""Publisher"": ""Pinnacle Books"", ""Year"": ""2013"", ""Language"": ""en""}",2013,John Gilstrap,2010,post_2010
2675,979300207,0979300207.jpg,"Sunny's Story ""How to Save a Young Life""",Ginger Katz,27,Teen & Young Adult,"{""ISBN-13"": ""9780979300202"", ""Title"": ""Sunny's Story - How To Save A Young Life"", ""Authors"": [""Ginger Katz"", ""Marci Alborghetti""], ""Publisher"": """", ""Year"": ""2007"", ""Language"": ""en""}",2007,Ginger Katz,2000,pre_2010
2677,149365182X,149365182X.jpg,Da li sam ja mala?: Slikovnica Philipp Winterberg i Nadja Wichmann (Croatian Edition),Philipp Winterberg,4,Children's Books,"{""ISBN-13"": ""9781493651825"", ""Title"": ""Da Li Sam Ja Mala? - Slikovnica Philipp Winterberg I Nadja Wichmann"", ""Authors"": [""Philipp Winterberg"", ""Nadja Wichmann""], ""Publisher"": ""CreateSpace"", ""Year"": ""2013"", ""Language"": ""en""}",2013,Philipp Winterberg,2010,post_2010
2679,816033331,0816033331.jpg,European Art to 1850 (International Encyclopedia of Art),Tony Lucchesi,27,Teen & Young Adult,"{""ISBN-13"": ""9780816033331"", ""Title"": ""European Art To 1850"", ""Authors"": [""Tony Lucchesi"", ""Fulvio Palombo""], ""Publisher"": """", ""Year"": ""1997"", ""Language"": ""en""}",1997,Tony Lucchesi,1990,pre_2010
2680,312363176,0312363176.jpg,The Star Garden (Sarah Prine),Nancy E. Turner,22,Romance,"{""ISBN-13"": ""9780312363178"", ""Title"": ""The Star Garden - A Novel Of Sarah Agnes Prine"", ""Authors"": [""Nancy E. Turner""], ""Publisher"": ""St. Martin's Griffin"", ""Year"": ""2008"", ""Language"": ""en""}",2008,Nancy E. Turner,2000,pre_2010
2681,763615668,0763615668.jpg,One Duck Stuck: A Mucky Ducky Counting Book,Phyllis Root,4,Children's Books,"{""ISBN-13"": ""9780763611040"", ""Title"": ""One Duck Stuck"", ""Authors"": [""Phyllis Root""], ""Publisher"": ""Candlewick Press (MA)"", ""Year"": ""2001"", ""Language"": ""en""}",2001,Phyllis Root,2000,pre_2010
2682,1783251239,1783251239.jpg,Meet the Ancient Egyptians: Niles and Niles of Fun (The Wonderful World of Simon Abbott),Simon Abbott,4,Children's Books,"{""ISBN-13"": ""9781783251230"", ""Title"": ""Meet The Ancient Egyptians - Niles And Niles Of Fun"", ""Authors"": [""Simon Abbott""], ""Publisher"": ""Ticktock Books, Limited"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Simon Abbott,2010,post_2010
2684,62247395,0062247395.jpg,What I Love About You (Military Men),Rachel Gibson,15,Literature & Fiction,"{""ISBN-13"": ""9780062247391"", ""Title"": ""What I Love About You"", ""Authors"": [""Rachel Gibson""], ""Publisher"": ""Avon"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Rachel Gibson,2010,post_2010
2685,764221957,0764221957.jpg,Eve's Daughters,Lynn Austin,22,Romance,"{""ISBN-13"": ""9780764221958"", ""Title"": ""Eve's Daughters"", ""Authors"": [""Lynn Austin""], ""Publisher"": ""Bethany House Publishers"", ""Year"": ""1999"", ""Language"": ""en""}",1999,Lynn Austin,1990,pre_2010
2686,553296124,0553296124.jpg,"Heir to the Empire (Star Wars: The Thrawn Trilogy, Vol. 1)",Timothy Zahn,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9780553296129"", ""Title"": ""Heir To The Empire"", ""Authors"": [""Timothy Zahn""], ""Publisher"": ""Spectra"", ""Year"": ""1992"", ""Language"": ""en""}",1992,Timothy Zahn,1990,pre_2010
2687,940975467,0940975467.jpg,Afro Bets Book of Black Heroes from A to Z: An Introduction to Important Black Achievers for Young Readers,Wade Hudson,27,Teen & Young Adult,"{""ISBN-13"": ""9780940975026"", ""Title"": ""Book Of Black Heroes From A To Z - An Introduction To Important Black Achievers"", ""Authors"": [""Wade Hudson"", ""Valerie Wilson Wesley""], ""Publisher"": """", ""Year"": ""1988"", ""Language"": ""en""}",1988,Wade Hudson,1980,pre_2010
2688,60728396,0060728396.jpg,Chronicles of Ancient Darkness #5: Oath Breaker,Michelle Paver,4,Children's Books,"{""ISBN-13"": ""9780060728397"", ""Title"": ""Chronicles Of Ancient Darkness #5: Oath Breaker"", ""Authors"": [""Michelle Paver""], ""Publisher"": ""Harper Collins"", ""Year"": ""2010"", ""Language"": ""en""}",2010,Michelle Paver,2010,post_2010
2689,3791341731,3791341731.jpg,13 Artists Children Should Know,Angela Wenzel,4,Children's Books,"{""ISBN-13"": ""9783791341736"", ""Title"": ""13 Artists Children Should Know"", ""Authors"": [""Angela Wenzel"", ""Jane Michael""], ""Publisher"": ""Prestel Pub"", ""Year"": ""2009"", ""Language"": ""en""}",2009,Angela Wenzel,2000,pre_2010
2690,938317393,0938317393.jpg,La Llorona / The Weeping Woman (English and Spanish Edition),Joe Hayes,4,Children's Books,"{""ISBN-13"": ""9780938317395"", ""Title"": ""La Llorona/The Weeping Woman: An Hispanic Legend Told In Spanish And English"", ""Authors"": [""Joe Hayes""], ""Publisher"": ""Cinco Puntos Press"", ""Year"": ""1998"", ""Language"": ""en""}",1998,Joe Hayes,1990,pre_2010
2691,1629115681,1629115681.jpg,Driven To Be Loved (Carmen Sisters),Pat Simmons,15,Literature & Fiction,"{""ISBN-13"": ""9781629115689"", ""Title"": ""Driven To Be Loved"", ""Authors"": [""Pat Simmons""], ""Publisher"": """", ""Year"": ""2015"", ""Language"": ""en""}",2015,Pat Simmons,2010,post_2010
2692,521794722,0521794722.jpg,The Fragility of Goodness: Luck and Ethics in Greek Tragedy and Philosophy,Martha C. Nussbaum,15,Literature & Fiction,"{""ISBN-13"": ""9780521794725"", ""Title"": ""The Fragility Of Goodness - Luck And Ethics In Greek Tragedy And Philosophy"", ""Authors"": [""Martha C. Nussbaum"", ""Professor of Law and Ethics University of Chicago Law School Martha C Nussbaum"", ""Nussbaum Martha C.""], ""Publisher"": ""Cambridge University Press"", ""Year"": ""2001"", ""Language"": ""en""}",2001,Martha C. Nussbaum,2000,pre_2010
2693,1573226882,1573226882.jpg,Fever Pitch,Nick Hornby,1,Biographies & Memoirs,"{""ISBN-13"": ""9781573226882"", ""Title"": ""Fever Pitch"", ""Authors"": [""Nick Hornby""], ""Publisher"": ""Penguin"", ""Year"": ""1998"", ""Language"": ""en""}",1998,Nick Hornby,1990,pre_2010
2694,64434435,0064434435.jpg,"Harry, el perrito sucio (Harry the Dirty Dog, Spanish edition)",Gene Zion,4,Children's Books,"{""ISBN-13"": ""9780064434430"", ""Title"": ""Harry the Dirty Dog (Spanish edition) - Harry, el perrito sucio"", ""Authors"": [""Gene Zion""], ""Publisher"": ""Rayo"", ""Year"": ""1996"", ""Language"": ""es""}",1996,Gene Zion,1990,pre_2010
2695,199554595,0199554595.jpg,"Tradition, Translation, Trauma: The Classic and the Modern (Classical Presences)",Jan Parker,15,Literature & Fiction,"{""ISBN-13"": ""9780199554591"", ""Title"": ""Tradition, Translation, Trauma - The Classic And The Modern"", ""Authors"": [""Jan Parker"", ""Timothy Mathews""], ""Publisher"": ""Oxford University Press"", ""Year"": ""2011"", ""Language"": ""en""}",2011,Jan Parker,2010,post_2010
2696,1435833546,1435833546.jpg,A Smart Kid's Guide to Avoiding Online Predators (Kids Online),David J. Jakubiak,4,Children's Books,"{""ISBN-13"": ""9781435833548"", ""Title"": ""A Smart Kid's Guide To Avoiding Online Predators"", ""Authors"": [""David J. Jakubiak""], ""Publisher"": ""Powerkids Press"", ""Year"": ""2009"", ""Language"": ""en""}",2009,David J. Jakubiak,2000,pre_2010
2697,800730852,0800730852.jpg,Technical Virgin: How Far is Too Far?,Hayley DiMarco,27,Teen & Young Adult,"{""ISBN-13"": ""9780800730857"", ""Title"": ""Technical Virgin - How Far Is Too Far?"", ""Authors"": [""Hayley DiMarco""], ""Publisher"": ""Revell"", ""Year"": ""2006"", ""Language"": ""en""}",2006,Hayley DiMarco,2000,pre_2010
2698,486284727,0486284727.jpg,The Time Machine (Dover Thrift Editions),H. G. Wells,15,Literature & Fiction,"{""ISBN-13"": ""9780486284729"", ""Title"": ""The Time Machine"", ""Authors"": [""H. G. Wells""], ""Publisher"": ""Courier Dover Publications"", ""Year"": ""1995"", ""Language"": ""en""}",1995,H. G. Wells,1990,pre_2010
2699,312949413,0312949413.jpg,"Acheron (Dark-Hunter, Book 12)",Sherrilyn Kenyon,22,Romance,"{""ISBN-13"": ""9780312949419"", ""Title"": ""Acheron"", ""Authors"": [""Sherrilyn Kenyon""], ""Publisher"": ""Macmillan"", ""Year"": ""2009"", ""Language"": ""en""}",2009,Sherrilyn Kenyon,2000,pre_2010
2700,1451635818,1451635818.jpg,Between the Lines,Jodi Picoult,27,Teen & Young Adult,"{""ISBN-13"": ""9781451635812"", ""Title"": ""Between The Lines"", ""Authors"": [""Jodi Picoult"", ""Samantha van Leer""], ""Publisher"": ""Simon and Schuster"", ""Year"": ""2013"", ""Language"": ""en""}",2013,Jodi Picoult,2010,post_2010
2702,62325892,0062325892.jpg,"Carrying Albert Home: The Somewhat True Story of A Man, His Wife, and Her Alligator",Homer Hickam,15,Literature & Fiction,"{""ISBN-13"": ""9780062325907"", ""Title"": ""Carrying Albert Home - The Somewhat True Story Of A Man, His Wife, And Her Alligator"", ""Authors"": [""Homer Hickam""], ""Publisher"": ""William Morrow Paperbacks"", ""Year"": ""2016"", ""Language"": ""en""}",2016,Homer Hickam,2010,post_2010
2703,736921583,0736921583.jpg,Prayers and Promises for My Little Girl,Stormie Omartian,4,Children's Books,"{""ISBN-13"": ""9780736921589"", ""Title"": ""Prayers And Promises For My Little Girl"", ""Authors"": [""Stormie Omartian"", ""Sandra Kuck""], ""Publisher"": ""Prayers and Promises"", ""Year"": ""2008"", ""Language"": ""en""}",2008,Stormie Omartian,2000,pre_2010
2704,1554515440,1554515440.jpg,Freaking Out: Real-life Stories About Anxiety,Polly Wells,27,Teen & Young Adult,"{""ISBN-13"": ""9781554515448"", ""Title"": ""Freaking Out - Real-Life Stories About Anxiety"", ""Authors"": [""Polly Wells"", ""Peter Mitchell""], ""Publisher"": ""Annick Press"", ""Year"": ""2013"", ""Language"": ""en""}",2013,Polly Wells,2010,post_2010
2705,312983212,0312983212.jpg,Saucer,Stephen Coonts,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9780312983215"", ""Title"": ""Saucer"", ""Authors"": [""Stephen Coonts""], ""Publisher"": ""St. Martin's Paperbacks"", ""Year"": ""2003"", ""Language"": ""en""}",2003,Stephen Coonts,2000,pre_2010
2706,1601626290,1601626290.jpg,The Dopefiend:: Part 2 of the Dopeman's Trilogy,JaQuavis Coleman,15,Literature & Fiction,"{""ISBN-13"": ""9781601626295"", ""Title"": ""The Dopefiend"", ""Authors"": [""JaQuavis Coleman""], ""Publisher"": ""Urban Books"", ""Year"": ""2014"", ""Language"": ""en""}",2014,JaQuavis Coleman,2010,post_2010
2707,307949605,0307949605.jpg,What We Talk About When We Talk About Anne Frank: Stories,Nathan Englander,15,Literature & Fiction,"{""ISBN-13"": ""9780307949608"", ""Title"": ""What We Talk About When We Talk About Anne Frank - Stories"", ""Authors"": [""Nathan Englander""], ""Publisher"": ""Vintage"", ""Year"": ""2013"", ""Language"": ""en""}",2013,Nathan Englander,2010,post_2010
2708,786891432,0786891432.jpg,Frozen Heat (A Castle Book),Richard Castle,17,"Mystery, Thriller & Suspense","{""ISBN-13"": ""9780786891436"", ""Title"": ""Frozen Heat"", ""Authors"": [""Richard Castle""], ""Publisher"": ""Kingswell"", ""Year"": ""2013"", ""Language"": ""en""}",2013,Richard Castle,2010,post_2010
2709,312429258,0312429258.jpg,"Among the Mad (Maisie Dobbs, Book 6)",Jacqueline Winspear,17,"Mystery, Thriller & Suspense","{""ISBN-13"": ""9780312429256"", ""Title"": ""Among The Mad - A Maisie Dobbs Novel"", ""Authors"": [""Jacqueline Winspear""], ""Publisher"": ""Picador"", ""Year"": ""2009"", ""Language"": ""en""}",2009,Jacqueline Winspear,2000,pre_2010
2710,545626781,0545626781.jpg,Hot Rod Hamster and the Wacky Whatever Race! (Scholastic Readers),Cynthia Lord,4,Children's Books,"{""ISBN-13"": ""9780545626781"", ""Title"": ""Hot Rod Hamster And The Wacky Whatever Race!"", ""Authors"": [""Cynthia Lord""], ""Publisher"": ""Scholastic Press"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Cynthia Lord,2010,post_2010
2711,1933866101,1933866101.jpg,"Traveller Hero Book Two: Adventure in Charted Space: The Imperium, Gadgets, Vehicles, Robots and Starships",Rob Bruce,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9781933866109"", ""Title"": ""Traveller Hero Book - Adventure In Charted Space"", ""Authors"": [""Rob Bruce"", ""Kevin Walsh"", ""Randy Hollingsworth""], ""Publisher"": ""Comstar Media, LLC"", ""Year"": ""2007"", ""Language"": ""en""}",2007,Rob Bruce,2000,pre_2010
2712,1330543629,1330543629.jpg,The Death Ship (Classic Reprint),William Clark Russell,15,Literature & Fiction,"{""ISBN-13"": ""9780266616313"", ""Title"": ""The Death Ship (Classic Reprint)"", ""Authors"": [""William Clark Russell""], ""Publisher"": ""Forgotten Books"", ""Year"": ""2017"", ""Language"": ""en""}",2017,William Clark Russell,2010,post_2010
2713,1501116975,1501116975.jpg,The Japanese Lover: A Novel,Isabel Allende,22,Romance,"{""ISBN-13"": ""9781501116995"", ""Title"": ""The Japanese Lover - A Novel"", ""Authors"": [""Isabel Allende""], ""Publisher"": ""Simon and Schuster"", ""Year"": ""2016"", ""Language"": ""en""}",2016,Isabel Allende,2010,post_2010
2717,038574238X,038574238X.jpg,The Face on the Milk Carton,Caroline B. Cooney,1,Biographies & Memoirs,"{""ISBN-13"": ""9780385742382"", ""Title"": ""The Face On The Milk Carton"", ""Authors"": [""Caroline B. Cooney""], ""Publisher"": ""Random House Digital, Inc."", ""Year"": ""2012"", ""Language"": ""en""}",2012,Caroline B. Cooney,2010,post_2010
2720,761461752,0761461752.jpg,Old MacDonald Had a Dragon,Ken Baker,4,Children's Books,"{""ISBN-13"": ""9780761461753"", ""Title"": ""Old MacDonald Had A Dragon"", ""Authors"": [""Ken Baker"", ""Christopher Santoro""], ""Publisher"": ""Two Lions"", ""Year"": ""2012"", ""Language"": ""en""}",2012,Ken Baker,2010,post_2010
2721,1608981908,1608981908.jpg,The Saga of Gudrid the Far-Traveler,Nancy Marie Brown,27,Teen & Young Adult,"{""ISBN-13"": ""9781608981908"", ""Title"": ""The Saga Of Gudrid The Far-Traveler"", ""Authors"": [""Nancy Marie Brown""], ""Publisher"": """", ""Year"": ""2015"", ""Language"": ""en""}",2015,Nancy Marie Brown,2010,post_2010
2722,1404819185,1404819185.jpg,Guatemala ABCs: A Book About the People and Places of Guatemala (Country ABCs),Marcie Aboff,4,Children's Books,"{""ISBN-13"": ""9781404819184"", ""Title"": ""Guatemala ABCs - A Book About The People And Places Of Guatemala"", ""Authors"": [""Marcie Aboff""], ""Publisher"": ""Capstone Classroom"", ""Year"": ""2006"", ""Language"": ""en""}",2006,Marcie Aboff,2000,pre_2010
2723,3955333302,3955333302.jpg,The Red Files,Lee Winter,22,Romance,"{""ISBN-13"": ""9783955333300"", ""Title"": ""The Red Files"", ""Authors"": [""Lee Winter""], ""Publisher"": """", ""Year"": ""2015"", ""Language"": ""en""}",2015,Lee Winter,2010,post_2010
2724,141183780,0141183780.jpg,"The Flame Trees of Thika: Memories of an African Childhood (Classic, 20th-Century, Penguin)",Elspeth Huxley,1,Biographies & Memoirs,"{""ISBN-13"": ""9780141183787"", ""Title"": ""The Flame Trees Of Thika - Memories Of An African Childhood"", ""Authors"": [""Elspeth Huxley""], ""Publisher"": ""Penguin"", ""Year"": ""2000"", ""Language"": ""en""}",2000,Elspeth Huxley,2000,pre_2010
2725,860373509,0860373509.jpg,What Do We Say?: A Guide to Islamic Manners,Noorah Kathryn Abdullah,4,Children's Books,"{""ISBN-13"": ""9780860373506"", ""Title"": ""What Do We Say... - A Guide To Islamic Manners"", ""Authors"": [""Noorah Kathryn Abdullah""], ""Publisher"": """", ""Year"": ""2010"", ""Language"": ""en""}",2010,Noorah Kathryn Abdullah,2010,post_2010
2726,312378076,0312378076.jpg,Until Our Last Breath: A Holocaust Story of Love and Partisan Resistance,Michael Bart,1,Biographies & Memoirs,"{""ISBN-13"": ""9780312378073"", ""Title"": ""Until Our Last Breath - A Holocaust Story Of Love And Partisan Resistance"", ""Authors"": [""Michael Bart"", ""Laurel Corona""], ""Publisher"": ""Macmillan"", ""Year"": ""2008"", ""Language"": ""en""}",2008,Michael Bart,2000,pre_2010
2727,1515188353,1515188353.jpg,The New Pastor (Bethel Community Church) (Volume 1),Sherman Cox,15,Literature & Fiction,"{""ISBN-13"": ""9781515188353"", ""Title"": ""The New Pastor"", ""Authors"": [""Sherman Cox""], ""Publisher"": ""CreateSpace"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Sherman Cox,2010,post_2010
2728,812507436,0812507436.jpg,"People of the River (The First North Americans series, Book 4)",W. Michael Gear,15,Literature & Fiction,"{""ISBN-13"": ""9780812507430"", ""Title"": ""People Of The River"", ""Authors"": [""W. Michael Gear"", ""Kathleen O'Neal Gear""], ""Publisher"": ""Macmillan"", ""Year"": ""1993"", ""Language"": ""en""}",1993,W. Michael Gear,1990,pre_2010
2729,1770411399,1770411399.jpg,Tales of a First-Round Nothing: My Life as an NHL Footnote,Terry Ryan,1,Biographies & Memoirs,"{""ISBN-13"": ""9781770411395"", ""Title"": ""Tales Of A First-Round Nothing - My Life As An NHL Footnote"", ""Authors"": [""Terry Ryan""], ""Publisher"": ""E C W Press"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Terry Ryan,2010,post_2010
2730,1598593846,1598593846.jpg,"Kingdom's Hope (Kingdom Series, Book 2)",Chuck Black,27,Teen & Young Adult,"{""ISBN-13"": ""9781590526804"", ""Title"": ""Kingdom's Hope"", ""Authors"": [""Chuck Black""], ""Publisher"": ""Multnomah Books"", ""Year"": ""2006"", ""Language"": ""en""}",2006,Chuck Black,2000,pre_2010
2731,1494787717,1494787717.jpg,The World Beneath (A Joe Tesla Novel) (Volume 1),Rebecca Cantrell,17,"Mystery, Thriller & Suspense","{""ISBN-13"": ""9781494787714"", ""Title"": ""The World Beneath"", ""Authors"": [""Rebecca Cantrell""], ""Publisher"": ""CreateSpace"", ""Year"": ""2013"", ""Language"": ""en""}",2013,Rebecca Cantrell,2010,post_2010
2733,199536864,0199536864.jpg,William Wordsworth - The Major Works: including The Prelude (Oxford World's Classics),William Wordsworth,15,Literature & Fiction,"{""ISBN-13"": ""9780199536863"", ""Title"": ""The Major Works"", ""Authors"": [""William Wordsworth""], ""Publisher"": ""Oxford Paperbacks"", ""Year"": ""2008"", ""Language"": ""en""}",2008,William Wordsworth,2000,pre_2010
2735,152056254,0152056254.jpg,The Spoon in the Bathroom Wall,Tony Johnston,4,Children's Books,"{""ISBN-13"": ""9780152056254"", ""Title"": ""The Spoon In The Bathroom Wall"", ""Authors"": [""Tony Johnston""], ""Publisher"": ""Sandpiper"", ""Year"": ""2006"", ""Language"": ""en""}",2006,Tony Johnston,2000,pre_2010
2736,1404868070,1404868070.jpg,You Can Draw Construction Vehicles,Mattia Cerato,4,Children's Books,"{""ISBN-13"": ""9781404868076"", ""Title"": ""You Can Draw Construction Vehicles"", ""Authors"": [""Mattia Cerato""], ""Publisher"": ""Capstone"", ""Year"": ""2011"", ""Language"": ""en""}",2011,Mattia Cerato,2010,post_2010
2739,147508436,0147508436.jpg,Out of the Easy,Ruta Sepetys,27,Teen & Young Adult,"{""ISBN-13"": ""9780147508430"", ""Title"": ""Out Of The Easy"", ""Authors"": [""Ruta Sepetys""], ""Publisher"": ""Penguin"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Ruta Sepetys,2010,post_2010
2740,073777231X,073777231X.jpg,Darfur (Genocide and Persecution),Noah Berlatsky,27,Teen & Young Adult,"{""ISBN-13"": ""9780737772319"", ""Title"": ""Darfur"", ""Authors"": [""Noah Berlatsky""], ""Publisher"": ""Greenhaven Publishing LLC"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Noah Berlatsky,2010,post_2010
2741,547258305,0547258305.jpg,Graceling,Kristin Cashore,27,Teen & Young Adult,"{""ISBN-13"": ""9780547258300"", ""Title"": ""Graceling"", ""Authors"": [""Kristin Cashore""], ""Publisher"": ""Houghton Mifflin Harcourt"", ""Year"": ""2008"", ""Language"": ""en""}",2008,Kristin Cashore,2000,pre_2010
2742,451476549,0451476549.jpg,Pouncing on Murder: A Bookmobile Cat Mystery,Laurie Cass,17,"Mystery, Thriller & Suspense","{""ISBN-13"": ""9780451476548"", ""Title"": ""Pouncing On Murder"", ""Authors"": [""Laurie Cass""], ""Publisher"": ""Berkley"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Laurie Cass,2010,post_2010
2743,1872372090,1872372090.jpg,Warhammer Magic,Rick Priestley,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9781872372099"", ""Title"": ""Warhammer Magic"", ""Authors"": [""Rick Priestley""], ""Publisher"": """", ""Year"": ""1997"", ""Language"": ""en""}",1997,Rick Priestley,1990,pre_2010
2744,312605374,0312605374.jpg,Brown-Eyed Girl: A Novel,Lisa Kleypas,22,Romance,"{""ISBN-13"": ""9780312605407"", ""Title"": ""Brown-Eyed Girl - A Novel"", ""Authors"": [""Lisa Kleypas""], ""Publisher"": ""St. Martin's Paperbacks"", ""Year"": ""2016"", ""Language"": ""en""}",2016,Lisa Kleypas,2010,post_2010
2747,764208993,0764208993.jpg,Keepers of the Covenant (The Restoration Chronicles) (Volume 2),Lynn Austin,15,Literature & Fiction,"{""ISBN-13"": ""9780764208997"", ""Title"": ""Keepers Of The Covenant"", ""Authors"": [""Lynn Austin""], ""Publisher"": ""Bethany House Publishers"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Lynn Austin,2010,post_2010
2748,1903458145,1903458145.jpg,"The Islamic Year: Surahs, Stories and Celebrations (Crafts, Festivals and Family Activities Ser)",Noorah Al-Gailani,4,Children's Books,"{""ISBN-13"": ""9781903458143"", ""Title"": ""The Islamic Year - Surahs, Stories And Celebrations"", ""Authors"": [""Noorah Al-Gailani"", ""Chris Smith""], ""Publisher"": ""Festivals and The Seasons"", ""Year"": ""2002"", ""Language"": ""en""}",2002,Noorah Al-Gailani,2000,pre_2010
2749,1616551941,1616551941.jpg,Akaneiro,Justin Aclin,27,Teen & Young Adult,"{""ISBN-13"": ""9781616551940"", ""Title"": ""Akaneiro"", ""Authors"": [""Justin Aclin""], ""Publisher"": ""Dark Horse Comics"", ""Year"": ""2013"", ""Language"": ""en""}",2013,Justin Aclin,2010,post_2010
2750,545093171,0545093171.jpg,Wolves of the Beyond #4: Frost Wolf,Kathryn Lasky,4,Children's Books,"{""ISBN-13"": ""9780545093170"", ""Title"": ""Frost Wolf"", ""Authors"": [""Kathryn Lasky""], ""Publisher"": ""Scholastic Paperbacks"", ""Year"": ""2012"", ""Language"": ""en""}",2012,Kathryn Lasky,2010,post_2010
2751,425283909,0425283909.jpg,Doctor Who: City of Death,Douglas Adams,15,Literature & Fiction,"{""ISBN-13"": ""9780425283912"", ""Title"": ""Doctor Who: City Of Death"", ""Authors"": [""Douglas Adams"", ""James Goss""], ""Publisher"": ""Penguin"", ""Year"": ""2016"", ""Language"": ""en""}",2016,Douglas Adams,2010,post_2010
2752,042527067X,042527067X.jpg,Magic Shifts: A Kate Daniels Novel,Ilona Andrews,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9780425270684"", ""Title"": ""Magic Shifts"", ""Authors"": [""Ilona Andrews""], ""Publisher"": ""Ace"", ""Year"": ""2016"", ""Language"": ""en""}",2016,Ilona Andrews,2010,post_2010
2753,1484602986,1484602986.jpg,Let's Think About the Internet and Social Media,Alex Woolf,4,Children's Books,"{""ISBN-13"": ""9781484602980"", ""Title"": ""Let's Think About The Internet And Social Media"", ""Authors"": [""Alex Woolf""], ""Publisher"": ""Capstone Classroom"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Alex Woolf,2010,post_2010
2754,425276015,0425276015.jpg,The Hercules Text,Jack McDevitt,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9780425276013"", ""Title"": ""The Hercules Text"", ""Authors"": [""Jack McDevitt""], ""Publisher"": ""Penguin"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Jack McDevitt,2010,post_2010
2758,385740468,0385740468.jpg,The Ransom of Mercy Carter,Caroline B. Cooney,27,Teen & Young Adult,"{""ISBN-13"": ""9780385740463"", ""Title"": ""The Ransom Of Mercy Carter"", ""Authors"": [""Caroline B. Cooney""], ""Publisher"": ""Ember"", ""Year"": ""2011"", ""Language"": ""en""}",2011,Caroline B. Cooney,2010,post_2010
2759,043985654X,043985654X.jpg,How Do Dinosaurs Play with Their Friends?,Jane Yolen,4,Children's Books,"{""ISBN-13"": ""9780439856546"", ""Title"": ""How Do Dinosaurs Play With Their Friends?"", ""Authors"": [""Jane Yolen""], ""Publisher"": ""Scholastic Inc."", ""Year"": ""2006"", ""Language"": ""en""}",2006,Jane Yolen,2000,pre_2010
2760,823417247,0823417247.jpg,"Brother Wolf, Sister Sparrow: Stories about Saints and Animals",Eric A. Kimmel,4,Children's Books,"{""ISBN-13"": ""9780823417247"", ""Title"": ""Brother Wolf, Sister Sparrow - Stories About Saints And Animals"", ""Authors"": [""Eric A. Kimmel"", ""John Winch""], ""Publisher"": """", ""Year"": ""2003"", ""Language"": ""en""}",2003,Eric A. Kimmel,2000,pre_2010
2761,736868518,0736868518.jpg,Bessie Coleman: Daring Stunt Pilot (Graphic Biographies),Trina Robbins,4,Children's Books,"{""ISBN-13"": ""9780736879033"", ""Title"": ""Bessie Coleman - Daring Stunt Pilot"", ""Authors"": [""Trina Robbins""], ""Publisher"": ""Capstone"", ""Year"": ""2007"", ""Language"": ""en""}",2007,Trina Robbins,2000,pre_2010
2762,1935118579,1935118579.jpg,"There's A Place In France, A Kid's Guide To Paris",Penelope Dyan,27,Teen & Young Adult,"{""ISBN-13"": ""9781935118572"", ""Title"": ""There's A Place In France, A Kid's Guide To Paris"", ""Authors"": [""Penelope Dyan"", ""John D. Weigand""], ""Publisher"": ""Bellissima Pub Llc"", ""Year"": ""2009"", ""Language"": ""en""}",2009,Penelope Dyan,2000,pre_2010
2764,545274435,0545274435.jpg,Green Shamrocks,Eve Bunting,4,Children's Books,"{""ISBN-13"": ""9780545274432"", ""Title"": ""Green Shamrocks"", ""Authors"": [""Eve Bunting""], ""Publisher"": ""Scholastic Inc."", ""Year"": ""2011"", ""Language"": ""en""}",2011,Eve Bunting,2010,post_2010
2765,1463719310,1463719310.jpg,Song of the Red Cloak,Chantel Acevedo,27,Teen & Young Adult,"{""ISBN-13"": ""9781463719319"", ""Title"": ""Song Of The Red Cloak"", ""Authors"": [""Chantel Acevedo""], ""Publisher"": ""CreateSpace"", ""Year"": ""2011"", ""Language"": ""en""}",2011,Chantel Acevedo,2010,post_2010
2766,307387437,0307387437.jpg,Hellhound on His Trail: The Electrifying Account of the Largest Manhunt in American History,Hampton Sides,1,Biographies & Memoirs,"{""ISBN-13"": ""9780307387431"", ""Title"": ""Hellhound On His Trail - The Electrifying Account Of The Largest Manhunt In American History"", ""Authors"": [""Hampton Sides""], ""Publisher"": ""Anchor"", ""Year"": ""2011"", ""Language"": ""en""}",2011,Hampton Sides,2010,post_2010
